nose_x,nose_y,shoulder_r_x,shoulder_r_y,shoulder_l_x,shoulder_l_y,elbow_r_x,elbow_r_y,elbow_l_x,elbow_l_y,wrist_r_x,wrist_r_y,wrist_l_x,wrist_l_y,torso_up_x,torso_up_y,torso_low_x,torso_low_y,hip_r_x,hip_r_y,hip_l_x,hip_l_y
717.86028648114,392.016470605907,651.539900890025,475.741201701923,811.169841485716,472.349674817505,643.663036682366,596.611619552372,828.020775613218,601.755583264019,661.490599239877,696.628835416585,806.967930349108,697.846015654593,731.465989094541,463.46301189652,731.747957410485,533.706862525261,671.706639692342,658.672931702159,800.087129154271,653.527956922459
717.366827241884,391.892465695658,651.30221658158,475.953171377211,810.921219703576,472.696334611818,643.913288116822,596.199683827698,827.663864783539,601.716712086363,661.209282931398,696.62718848256,806.572552105259,698.55709352295,731.315313096592,463.640165104329,731.666912843612,533.710441322419,671.362893458037,658.626735001263,799.923749642989,653.724002740988
716.912753201522,391.640634805791,651.075847130901,476.06930793539,810.607935023886,472.827101387061,644.133499118424,595.59958107645,827.3805173134,601.449897942766,660.978648545254,696.479372866911,806.218925107558,699.275712032556,731.068986997527,463.664625607186,731.467703126935,533.6295999879,671.088837919138,658.586921856114,799.812950020628,653.948714931746
716.490636073543,391.367739942903,650.864104301556,476.030712645872,810.238776403913,472.809537234104,644.28692035481,595.113352481948,827.064267996201,601.123288191146,660.828407700117,696.31967447477,806.035976465026,699.933434652239,730.793315343577,463.566990511358,731.193665066175,533.51684313617,670.875238664422,658.497856906335,799.670255604298,653.95732496817
716.16701295761,391.125556299627,650.722445347684,475.884347129048,809.822992116282,472.735369597329,644.26353681599,594.924063244885,826.707253141669,600.873973407425,660.795880091696,696.327035366798,806.030071720334,700.404423019811,730.58523327124,463.438383274655,730.983730222179,533.462141463051,670.819042692942,658.465833635741,799.471096369956,653.842214398248
715.916036057227,390.965894851484,650.643991453983,475.728538328551,809.427654732477,472.636114295682,644.107410770006,594.900105082657,826.521168384611,600.694500639349,660.884304396646,696.381339208844,806.133570662714,700.791884862935,730.4153713969,463.340383550974,730.872037585785,533.42269850136,670.838702182302,658.48941603877,799.265483012302,653.92710630629
715.630933286869,390.940558132686,650.541764028628,475.577339641051,809.061357029138,472.57732124598,643.947400801522,594.962122494549,826.470220774965,600.648136016591,660.985471852928,696.394311599877,806.353684854796,701.300729718991,730.250539340702,463.307653446613,730.803370315647,533.400379379732,670.784478296491,658.460796576294,799.11114965705,654.215135453012
715.287186372612,390.985980272786,650.415524400095,475.44347848955,808.667795348427,472.598841874243,643.806803537456,595.136682650904,826.336816390689,600.745481847805,660.989607427477,696.500949790598,806.644536600942,701.901028267073,730.095845679137,463.35042413905,730.746946788026,533.373239397672,670.783516037323,658.452809834219,799.020355128529,654.601723758017
714.932528127014,390.985587325806,650.308241447139,475.346857806417,808.286729800881,472.572574547543,643.659110932027,595.283551549219,826.096979266233,600.802073923053,660.8726076804,696.709933242204,807.021683067955,702.384688226438,729.92360574951,463.412391299928,730.698406680735,533.28361296449,670.938168330495,658.578900317068,798.980516024705,655.060680356659
714.584691808312,390.945282737541,650.165929624679,475.255285787903,807.996429615001,472.385354557253,643.498287396081,595.265626604266,825.762315700608,600.726693581659,660.613408186511,696.841526888862,807.623721469661,702.683899855235,729.732508145165,463.429962543095,730.607173969586,533.184829262806,671.04852967193,658.764563852524,799.018760875601,655.512177580925
714.236697701044,390.887517912569,649.99490162132,475.172370378827,807.751566571217,472.103757292861,643.339372181997,595.188963008926,825.221558412635,600.614528544561,660.262442596545,696.847649369737,808.33522295023,702.927711734803,729.53360432447,463.408094103644,730.385084580463,532.963733720447,671.042019178199,658.926381890619,799.159687092601,655.943572514585
713.91612736293,390.743436902517,649.888650809644,475.144922872058,807.498957394614,471.786807884711,643.192042524774,595.203814187068,824.512627641139,600.429454354988,659.960033609566,696.883981192186,808.953388224809,703.206064292989,729.2999050537,463.362329462552,730.075553292802,532.470497545229,671.077340750682,659.137206956397,799.407998552004,656.31963745783
713.622910395352,390.526557570635,649.788468300183,475.20170484648,807.283644361404,471.429323118982,643.090742354921,595.317749578719,823.837123501895,600.082726033736,659.708921703333,697.061358363924,809.659782576519,703.556089643247,729.060800015533,463.305198714073,729.860542597636,531.934489786392,671.118948461404,659.486820552005,799.757035765832,656.560997402668
713.24314861486,390.348096056393,649.617064646163,475.369339849943,807.097972430834,471.09409084779,643.140472345309,595.560697704889,823.250476690437,599.798553806533,659.415960436625,697.350324457656,810.649175879749,704.129405818039,728.869890912107,463.286791776743,729.76643029337,531.479844524735,671.07118675096,659.917181934285,800.136058407421,656.99600404646
712.664707616888,390.21015235343,649.4446731211,475.633807844454,806.882676029634,470.830924087046,643.368384083716,596.060046990176,822.712611064384,599.769511304626,659.052696543467,697.767632611689,811.818323031382,704.995486969078,728.686671694231,463.326277303952,729.674063604161,530.989781320905,671.064432338625,660.355142717086,800.542818136141,657.999424334795
711.867375827832,390.059536477242,649.263911080099,475.91787555407,806.685463008031,470.61638191891,643.672004054283,596.755370399998,822.234386888959,599.759739260683,658.554838587822,698.343711172364,813.161722348531,705.912254629814,728.48740520892,463.388941567296,729.618484546817,530.685127101251,671.158807557447,660.832896482629,801.064862682633,659.263954358982
710.792105090168,389.97640183769,649.041282903336,476.160748023875,806.58798955068,470.458144675202,644.011808808217,597.415560728008,821.761219216755,599.599524871261,657.853927607749,698.947862071926,814.780361702429,706.593586281185,728.337665742061,463.455084444997,729.6489476722,530.734049375352,671.237154593076,661.275970522138,801.631340688329,660.464070855869
709.377077686384,390.073886016052,648.897051765191,476.33679404639,806.583538400066,470.346967903906,644.361489979576,597.978376482955,821.249648786047,599.436598565828,656.97697399738,699.524779735108,816.534541325308,706.965781123371,728.262176378722,463.518202843838,729.661924965622,530.848882589739,671.245239799411,661.532023612587,802.132184396655,661.746166535012
707.749829389879,390.3391684036,648.880022359779,476.42648763941,806.640438806375,470.233980943404,644.588765480685,598.462583065042,820.794982787514,599.284202704615,655.97720050291,700.183056317634,818.116021695678,707.055448797616,728.249818534036,463.588629599551,729.670658620459,530.893636819094,671.187306511568,661.554598999722,802.593900102552,662.892314311211
706.062370702601,390.697218783596,648.907898621904,476.43967828668,806.74147752981,470.158117310775,644.672696723631,598.836415136722,820.444339721211,599.029114086753,654.942910972776,700.842205375494,819.305420348798,706.925132576243,728.320877457884,463.714117202266,729.761787676124,530.960849549948,671.080866089918,661.258698381732,802.965521447653,663.471785182642
704.303842843016,391.071517628962,648.98046535306,476.401928623281,806.839172456198,470.136016658374,644.752737324427,599.164125184114,820.128681904487,598.741322610017,653.939412784997,701.35924333047,820.083524682718,706.726384376773,728.472507454202,463.902901318855,729.842386783462,530.962503417203,670.96010908159,660.723104828069,803.161533187276,663.708829478047
702.562967516553,391.363243764843,649.115817092739,476.331314956698,806.896597341642,470.07214437095,644.868079448299,599.516436395143,819.876989608917,598.509428491402,652.931899786768,701.800317893922,820.547287738223,706.622036017259,728.695451493899,464.103760577178,729.863837925376,530.85604599989,670.809645400943,660.285892797771,803.247157605137,663.933380495758
701.084067536773,391.483544124752,649.21565156889,476.272282525591,806.944480572781,470.008738135222,644.959017053252,599.873897038312,819.825886590348,598.283360466465,651.962601624459,702.135914941004,820.763536042154,706.669728608339,728.980077579965,464.304238495357,729.941490779172,530.819312973627,670.664784346489,659.865092650431,803.309046901051,664.030127945592
699.932215913894,391.395472019035,649.203195205388,476.245477712736,807.01442313539,470.081196906939,645.037555966961,600.192572999323,819.932314070712,597.981295385223,651.148447354199,702.241024074799,820.830393603887,706.785954114812,729.253942799262,464.507461072709,730.082651719293,530.871469532941,670.632715138612,659.177594212945,803.42254577695,663.907455571374
699.064523476953,391.149188647071,649.15230417242,476.204982037422,807.092579561281,470.200979911464,645.128723984827,600.367741427938,820.01421894525,597.602165522688,650.483458339093,702.2251532234,820.913327384106,706.853680423886,729.467206804615,464.645939759638,730.209520018604,530.855188827441,670.666597238406,658.483763995518,803.638163469891,663.619548347036
698.591950574169,390.855195563389,649.152477578084,476.147989870916,807.168711475089,470.243821009841,645.170279053546,600.341640886852,820.133933909807,597.375623135152,649.916586568329,702.20611896145,821.082445540707,706.912569023935,729.646722611792,464.671293825693,730.368590164303,530.842468245315,670.640227383305,657.941992835901,803.837101169725,663.256242916266
698.603590961516,390.542903988181,649.190230457549,476.131197181249,807.259217370399,470.296069623629,645.114553204775,600.165072641535,820.429811478219,597.532940323822,649.514101432398,702.13807496533,821.3176866655,706.968052666718,729.811020231906,464.631436609938,730.630109620725,530.89575770526,670.605338591598,657.301169344521,803.91050324111,662.973691296823
699.028461247924,390.16514381751,649.266965482662,476.155128302266,807.383133306528,470.380270919915,645.006828932192,599.796231818373,820.751091986772,597.914060740812,649.436589074876,702.062630894779,821.608051870032,706.751918731316,729.947949765544,464.563705366826,730.945916315301,530.797981893644,670.638363529753,656.734446259761,803.925263336321,662.851451270345
699.848066237247,389.749712625672,649.449782130484,476.160302094713,807.507245380227,470.372129722441,644.836558015246,599.216077332964,820.978836609102,598.355275010634,649.740887837986,702.013957789169,821.891264852425,706.188459507122,730.016192870778,464.445104408209,731.208582361321,530.592295322973,670.636386994076,656.577229705434,803.886509088024,662.983147337254
701.143065788476,389.317033825654,649.729183187118,476.117529768237,807.586005041968,470.285263257523,644.534477612985,598.608336586163,821.213724024457,598.925104880473,650.287240960861,701.874838627388,822.116330721847,705.566194594964,730.009950103605,464.262455030787,731.364400480738,530.576560557845,670.535276147937,656.632265423924,803.718894757899,663.422193182583
702.858873765904,388.776307319836,649.990321248479,476.06145546963,807.684516977624,470.240710739984,644.188332672299,598.0687002269,821.439382455951,599.38633698768,651.001319995525,701.639300105855,822.330428886591,704.950394680648,730.010871383618,464.038719858068,731.488116382999,530.743923533166,670.466220486854,656.657339717605,803.509307598913,663.870163479562
704.842702470776,388.183520439845,650.174892228877,475.998134403633,807.852898667931,470.251597018953,643.931173175672,597.546044549101,821.546835480556,599.426235185649,651.93679378491,701.371417425274,822.523605821815,704.325689997661,730.030188165555,463.823728447871,731.6555519325,530.98917111238,670.495437770347,656.733947152222,803.380600570241,664.109617954101
707.102829758216,387.755260048324,650.339749707907,475.867285916136,807.996555649136,470.276455035421,643.759488881762,597.131425862597,821.550826162123,599.167700578135,653.034542098915,701.013825160813,822.647880612419,703.998878135298,730.016119562669,463.630614609062,731.789520870113,531.363620408084,670.521779962499,656.938421910366,803.27106492526,664.280913956183
709.635769362551,387.446253370776,650.488114385826,475.715738862135,808.100236025002,470.337614218892,643.701274138449,596.965150654914,821.507987590988,598.791223964382,654.269390785009,700.664938634817,822.775260783544,704.029762707154,730.020295879594,463.398258944441,731.859164174931,531.840794934596,670.561623258079,657.224032618619,803.112532865599,664.402363100197
712.262890777626,387.094930012583,650.541061265026,475.681943294457,808.266275236729,470.458503526257,643.788193825581,597.056546581743,821.466477982547,598.488350346914,655.751640555188,700.545812462579,822.960462486019,704.07119238092,730.073184835573,463.157080161106,731.952297355475,532.224178774214,670.746527177461,657.562524517409,802.983804569635,664.528981915373
714.960663708911,386.787187998981,650.535497055778,475.751167343417,808.474421973884,470.599040928267,643.894585160901,597.33700841055,821.492420179464,598.511080808116,657.368958783541,700.581640799167,823.157594101085,704.031213364931,730.104263302088,463.037552422542,732.028723535986,532.346383365857,671.040614958021,658.017167112852,802.949322836829,664.937321411026
717.774666852363,386.487484519883,650.546279732724,475.822445614221,808.628461879454,470.726301778444,643.940268735688,597.648595871349,821.608003188744,598.744613936219,658.853179427778,700.612567870628,823.343323981355,704.033655427501,730.083436250196,462.99897120213,732.044673264008,532.349148535733,671.340742554239,658.547573350828,802.965862398247,665.581780375472
720.446095855833,385.989694924139,650.512390246848,475.888437828069,808.713140688902,470.840173916327,643.952773561318,597.853357676241,821.758034189383,599.033059626835,660.12837567335,700.672588179379,823.490893093288,704.055441145733,730.026367855099,462.933776524185,732.12621153142,532.42871850611,671.647917483386,658.90758836848,802.96178676634,666.153472595129
722.69786136259,385.40290557697,650.429546960695,475.960501781128,808.762881821966,470.93532381566,643.879749417467,597.998640309367,821.88448832107,599.429342992252,661.139353442871,700.731254179502,823.542362357236,704.160734827548,729.965873643875,462.920002434083,732.302299871045,532.508815813019,671.94675145971,658.962658768514,802.917531631737,666.55751444491
724.462741031038,384.889936884214,650.395973377195,476.004718881003,808.787372813425,471.039948320447,643.626279663164,598.089375218791,821.990590648939,599.700207255178,661.801077899518,700.729707805407,823.491780203991,704.508424539225,729.941516748732,462.973217549317,732.491520823394,532.674930735831,672.181294819119,658.800047915204,802.895110269657,666.820270156971
725.671773821394,384.372214273271,650.374616489575,476.006758012861,808.754625150393,471.181301911517,643.127404861342,597.912192788103,822.054536750357,599.619641146829,662.259267403481,700.726439071183,823.372269558543,704.98849621608,729.928447964631,462.960316691892,732.707599845353,533.097284848717,672.295759617759,658.560425775249,802.945576936542,666.823716888552
726.301038105526,383.873646743158,650.294065558663,475.999380777484,808.679477151118,471.280092013008,642.421131357071,597.418872462854,822.026972320898,599.436311566273,662.740165205497,700.621637694244,823.216087877941,705.397885061198,729.902969627779,462.905507355145,732.921003070827,533.503872359319,672.363784781412,658.117027086886,803.040601354068,666.454124968463
726.43795949774,383.468527622013,650.210611359823,475.99115811549,808.636401763656,471.252295637883,641.616279256717,596.973725096271,821.979421907801,599.423040462624,663.421550839328,700.101795165836,823.078222649332,705.744444542915,729.899175197345,462.907635075711,733.025366487291,533.639353354022,672.461411461264,657.212128293953,803.182833647038,665.949874308097
726.203336973101,383.096383421374,650.108155298467,475.969479000983,808.62895002313,471.143915606645,640.560615632404,596.878927404359,821.998054536878,599.554300225879,664.60937290891,698.81789250734,823.031467551196,706.013228489413,729.899717634897,462.934058221553,733.015948862497,533.589560457546,672.194628035819,656.222840104939,803.403022346488,665.500342033715
725.753484856239,382.794914237563,649.907386831107,475.953771925198,808.61707146642,470.996580983668,639.062790160581,597.076053922606,822.030575774325,599.681975720345,666.622531233983,696.410919374979,823.089898622187,706.095253854514,729.846397321996,462.953418781414,732.966364753249,533.404316704534,671.758669016099,654.772901152557,803.664177865102,664.792558943874
725.163836901849,382.655104833779,649.725768004854,475.902258388385,808.601492363021,470.77094175819,637.307915153549,597.562635849717,822.057515755919,599.82039253845,669.542297424492,692.473943997035,823.183338159871,706.070147297991,729.751969589293,462.984023756662,732.903790347314,533.025751994702,672.193043737209,651.885092516153,803.972139649665,663.883008211088
724.464144961332,382.64262815363,649.706966312329,475.780856278529,808.586238154019,470.532481712891,635.294464220969,598.416276628137,822.132425828804,600.131477020912,673.241237635402,686.449167789421,823.26144067701,706.113685000775,729.653125511551,462.991057071436,732.697845326601,532.501060244778,672.50570423008,650.618265759307,804.26337176717,663.721311583307
